City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Itarema,BR,78.19,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
530,Udon Thani,TH,78.85,broken clouds,17.3333,102.8333,P.T.K. Apartment
541,Saint-Louis,SN,76.64,overcast clouds,16.3333,-15.0,
542,Pemangkat,ID,82.62,overcast clouds,1.1667,108.9667,Ramah Kost KITA
543,Grand Gaube,MU,84.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
544,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
549,Kiunga,PG,79.12,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
557,Mana,GF,76.05,light rain,5.6592,-53.7767,LE SAMANA
558,Butterworth,MY,87.85,few clouds,5.3991,100.3638,Cititel Penang
563,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
567,Cartagena,CO,78.42,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
568,Samarai,PG,85.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
569,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
579,Ngunguru,NZ,75.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
584,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
585,Adela,PH,88.14,overcast clouds,12.4416,120.9729,De Kack's Private Resort
591,Bundaberg,AU,88.09,clear sky,-24.85,152.35,Takalvan Motel
595,Taoudenni,ML,75.07,overcast clouds,22.6783,-3.9836,
599,Sinnamary,GF,76.55,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
606,Dondaicha,IN,86.43,clear sky,21.3333,74.5667,Mahavir Farm House
611,Sijunjung,ID,80.53,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
615,Badak,PH,88.03,overcast clouds,6.8472,124.7206,Abdullah's Residency
623,Ciudad Bolivar,VE,77.63,overcast clouds,8.1222,-63.5497,Hotel Edi
624,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
628,Chiredzi,ZW,78.12,scattered clouds,-21.05,31.6667,Clevers Hotel Chiredzi
629,Kinablangan,PH,80.51,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
